RepositoryUrl,Status,ecosystem,registry_url,dependent_packages_count,dependent_repos_count,docker_dependents_count,docker_downloads_count,downloads,downloads_period,last_synced_at
https://github.com/abishekvashok/cmatrix,OK,homebrew,https://formulae.brew.sh/formula/cmatrix,0,134,null,null,1602,last-month,2024-01-05T09:07:53.242Z
https://github.com/accounts-js/accounts,OK,npm,https://www.npmjs.com/package/@accounts/server,48,173,6,9674041,4653,last-month,2024-01-05T09:13:19.097Z
https://github.com/AcheronProject/SharkPCB,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/acmesh-official/acme.sh,OK,alpine,https://pkgs.alpinelinux.org/package/edge/community/x86_64/acme.sh,0,0,null,null,null,null,2024-01-07T06:56:26.017Z
https://github.com/actionshub/markdownlint,OK,actions,null,0,314,1,1547,null,null,2024-01-01T14:13:32.081Z
https://github.com/activeadmin/activeadmin,OK,rubygems,https://rubygems.org/gems/activeadmin,186,16473,25,13191,28868962,total,2024-01-06T19:04:21.985Z
https://github.com/ActivityWatch/activitywatch,OK,go,https://pkg.go.dev/github.com/activitywatch/activitywatch,0,0,null,null,null,null,2024-01-06T12:16:21.98Z
https://github.com/actix/actix-web,OK,cargo,https://crates.io/crates/actix-web/,922,6843,68,20127549,15937279,total,2024-01-07T00:35:34.963Z
https://github.com/actualbudget/actual,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/actually-colab/desktop,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/adamhalasz/diet,OK,npm,https://www.npmjs.com/package/diet,9,25,null,null,309,last-month,2024-01-05T09:12:05.611Z
https://github.com/adamhalasz/uniqid,OK,npm,https://www.npmjs.com/package/uniqid,992,201661,496,75210414,1408995,last-month,2024-01-07T08:01:55.036Z
https://github.com/adarsh-goel/FileStreamBot-pro,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/adelsz/pgtyped,OK,npm,https://www.npmjs.com/package/@pgtyped/cli,4,41,null,null,63324,last-month,2024-01-07T08:16:36.562Z
https://github.com/adlered/CSDNGreener,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/advancedfx/advancedfx,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/adyanth/openwrt-tailscale-enabler,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/aerogo/aero,OK,go,https://pkg.go.dev/github.com/aerogo/aero,10,31,null,null,null,null,2024-01-05T19:34:40.937Z
https://github.com/aesmail/kaffy,OK,hex,https://hex.pm/packages/kaffy/,0,52,null,null,238820,total,2024-01-05T09:09:29.736Z
https://github.com/AFLplusplus/AFLplusplus,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/agershun/WebSQLShim,No lookups,null,null,null,null,null,null,null,null,null
