Id,Slug,Type,Name,OpenCollective,Twitter,CodeRepository,GitHubUser,GithubRepository,GitHubStatus,LocationCountry,IsFrozen,IsActive,CreatedAt,UpdatedAt,Budget,Currency
ggnxdwzj-3le5mpw9-4j6y8rvb-ko04a97b,tiled,COLLECTIVE,Tiled Map Editor,https://opencollective.com/tiled,https://twitter.com/TiledApp,https://github.com/mapeditor/tiled,https://github.com/mapeditor,https://github.com/mapeditor/tiled,Repo found,Germany,false,true,2018-01-26T14:08:11.243Z,2023-03-14T11:05:26.608Z,25477.34,USD
eeng0kzd-yvor4pz9-n96bma83-7xlw95jl,awesome-adb,COLLECTIVE,awesome-adb,https://opencollective.com/awesome-adb,,https://github.com/mzlogin/aweome-adb,https://github.com/mzlogin,,Repo not found,China,false,true,2018-02-01T14:03:39.898Z,2022-01-20T01:31:42.887Z,0,USD
k3z8arxv-eymko607-3wqgl5nb-j9w704dv,accounts-js,COLLECTIVE,accounts-js,https://opencollective.com/accounts-js,https://twitter.com/accountsjs,https://github.com/accounts-js/accounts,https://github.com/accounts-js,https://github.com/accounts-js/accounts,Repo found,,false,true,2018-02-01T17:20:26.329Z,2020-05-17T11:32:24.360Z,0,USD
ov349mrw-gz75lpy9-r5qa08dj-eybknoxd,sweetalert,COLLECTIVE,SweetAlert,https://opencollective.com/sweetalert,,https://github.com/t4t5/weetalert,https://github.com/t4t5,,Repo not found,,false,true,2018-02-06T19:24:46.255Z,2020-03-17T01:54:09.346Z,87.52,USD
nmlo94zn-7x08dpok-boqewga3-vjbrky5m,redom,COLLECTIVE,redom,https://opencollective.com/redom,https://twitter.com/redomjs,https://github.com/redom,https://github.com/redom,,Has no repo URL,,false,true,2018-02-08T09:03:58.144Z,2022-03-21T18:48:14.001Z,23.42,USD
03k0exgz-nm8yj64e-djq5wao9-r7b4dlvr,chamilo,COLLECTIVE,Chamilo,https://opencollective.com/chamilo,https://twitter.com/chamilo_news,https://github.com/chamilo,https://github.com/chamilo,,Has no repo URL,,false,true,2018-02-10T15:28:30.776Z,2020-01-14T05:14:30.017Z,0,USD
eeng0kzd-yvor4pz5-40pbma83-7xlw95jl,hoaproject,COLLECTIVE,Hoa Project,https://opencollective.com/hoaproject,https://twitter.com/hoaproject,https://github.com/hoaproject,https://github.com/hoaproject,,Has no repo URL,,false,true,2018-02-13T17:06:46.237Z,2020-01-14T05:14:25.696Z,0,USD
bvrgbk35-7l4x96eb-5a6omewa-0jdyzn83,biojulia,COLLECTIVE,BioJulia,https://opencollective.com/biojulia,,https://github.com/BioJulia,https://github.com/BioJulia,,Has no repo URL,,false,true,2018-02-21T16:17:47.158Z,2022-02-15T19:31:02.573Z,0,USD
ov349mrw-gz75lpyr-9rqa08dj-eybknoxd,nusmods,COLLECTIVE,NUSMods,https://opencollective.com/nusmods,https://twitter.com/nusmods,https://github.com/nusmodifications/nusmods,https://github.com/nusmodifications,https://github.com/nusmodifications/nusmods,Repo found,,false,true,2018-02-22T11:32:38.156Z,2020-03-26T17:01:01.739Z,90.26,USD
rmvrwng4-kj03dpb4-jlqz57oy-l9e8xbaj,cameraview,COLLECTIVE,CameraView,https://opencollective.com/cameraview,,https://github.com/natario1/CameraView,https://github.com/natario1,https://github.com/natario1/CameraView,Repo found,,false,true,2018-02-27T18:02:09.099Z,2020-03-26T17:00:58.589Z,0,USD
x8k03rey-d5agmq53-nyplbwoz-7j4nxv9z,symfony-diversity-usd,COLLECTIVE,Symfony Diversity collective in $,https://opencollective.com/symfony-diversity-usd,https://twitter.com/symfony,https://github.com/symfony/diversity,https://github.com/symfony,,Repo not found,,false,true,2018-02-28T12:53:44.769Z,2020-01-14T05:14:39.620Z,504.26,USD
53kzxy4v-07wlr6mn-zkqmj9no-8agdbe57,vuesax,COLLECTIVE,Vuesax,https://opencollective.com/vuesax,https://twitter.com/vuesax,https://github.com/lusaxweb/vuesax,https://github.com/lusaxweb,https://github.com/lusaxweb/vuesax,Repo found,,false,true,2018-02-28T15:02:19.112Z,2022-09-27T10:06:12.350Z,472.6,USD
5ax8emk7-lnw54q7m-kxqgyvj0-o93zdrbn,croogo,COLLECTIVE,croogo,https://opencollective.com/croogo,https://twitter.com/croogo,https://github.com/croogo,https://github.com/croogo,,Has no repo URL,,false,true,2018-03-01T00:26:33.490Z,2020-05-01T07:58:34.533Z,0,USD
